Suite,From,To,Postal Code,Regular Elem. Catchment,Regular  Grade 7&8 Catch.,Regular  Grade 9 Catch.,Regular Gr.10 Catch.,Elementary FI Dual @ EFM*,78FD**,HSFD***
ABERDEEN AVE,,,,,,,,,,
even,268,290,R2W 1V1,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",296,350,R2W 1V4,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",356,410,R2W 1V6,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",412,470,R2W 1V7,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",474,530,R2W 1W1,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",540,586,R2W 1W3,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",596,654,R2W 1W5,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",656,710,R2W 1W7,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",730,766,R2W 1W9,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",822,832,R2X 0W1,King Edward,Isaac Newton,Isaac Newton,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",836,902,R2X 0W2,King Edward,Isaac Newton,Isaac Newton,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",906,952,R2X 0W4,King Edward,Isaac Newton,Isaac Newton,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",976,1044,R2X 0W6,Lord Nelson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",1046,1132,R2X 0W9,Lord Nelson,Andrew Mynarski V.C.,Andrew Mynarski V.C.,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",1168,1252,R2X 0X2,Lord Nelson,Shaughnessy Park,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
"",1280,1300,R2X 0X3,Lord Nelson,Shaughnessy Park,Sisler,Sisler,Stanley Knowles Lan,Sta,Sis
odd,131,165,R2W 1T9,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",277,287,R2W 1V2,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",291,347,R2W 1V3,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",351,409,R2W 1V5,Machray,St. John's,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",419,469,R2W 1V8,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",475,523,R2W 1V9,William Whyte,William Whyte,St. John's,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",533,589,R2W 1W2,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",593,653,R2W 1W4,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",655,709,R2W 1W6,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",715,767,R2W 1W8,Strathcona,Isaac Newton,Isaac Newton,St. John's,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",779,829,R2X 0V9,King Edward,Isaac Newton,Isaac Newton,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",837,899,R2X 0W3,King Edward,Isaac Newton,Isaac Newton,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
"",907,955,R2X 0W5,King Edward,Isaac Newton,Isaac Newton,Sisler,Luxton K-3/SKN 4-6 Lan,Sta,Sis
